,page_id,wikidata_id,sexLabel,nativeLanguageLabel,countryOfCitizenshipLabel,ethnicGroupLabel,Actor name,Actress id,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,reviewScores,awardsReceived,awardsNominated,capitalCost,Actor age at movie release,Actor date of birth,Actor ethnicity,Freebase actor ID
23,41562,Q43247,female,,Sweden,,Ingrid Bergman,41562,190405,/m/01b15b,Anastasia,1956.0,,105.0,French Language,United States of America,"Romantic drama, Period piece, Drama, Epic, Romance Film",,,,,41.0,1915.0,Swedish Americans,/m/0bdt8
24,41562,Q43247,female,,Sweden,,Ingrid Bergman,41562,190405,/m/01b15b,Anastasia,1956.0,,105.0,French Language,United States of America,"Romantic drama, Period piece, Drama, Epic, Romance Film",,,,,41.0,1915.0,Swedish Americans,/m/0bdt8
25,45969,Q40475,female,,United States of America,,Joan Crawford,45969,4995581,/m/0cy__l,Mildred Pierce,1945.0,,111.0,English Language,United States of America,"Melodrama, Crime Drama, Family Drama, Mystery, Drama, Romance Film, Film noir",,,,,40.0,1905.0,,/m/0cgbf
26,88833,Q95068,female,,United Kingdom,,Olivia de Havilland,88833,183741,/m/01930n,To Each His Own,1946.0,,122.0,English Language,United States of America,"Drama, Black-and-white, War film",,,,,29.0,1916.0,British Americans,/m/0m6x4
27,88833,Q95068,female,,United Kingdom,,Olivia de Havilland,88833,73970,/m/0jsqk,The Heiress,1949.0,2300000.0,116.0,French Language,United States of America,"Black-and-white, Period piece, Drama, Film adaptation, Romantic drama, Romance Film",,,,,33.0,1916.0,British Americans,/m/0m6x4
28,183759,Q253384,female,,United States of America,,Loretta Young,183759,183768,/m/019373,The Farmer's Daughter,1947.0,,97.0,English Language,United States of America,"Parody, Romantic comedy, Black-and-white, Comedy, Political cinema, Romance Film",,,,,34.0,1913.0,,/m/01934k
29,183753,Q95055,female,English,United States of America,,Jane Wyman,183753,80533,/m/0kv00,Johnny Belinda,,,102.0,English Language,United States of America,Drama,,,,,30.0,1917.0,,/m/01933d
30,187074,Q253298,female,,United States of America,,Judy Holliday,187074,2066293,/m/06jq_7,Born Yesterday,1950.0,4150000.0,102.0,English Language,United States of America,"Romantic comedy, Romance Film, Satire, Comedy",,,,,29.0,1921.0,Jewish people,/m/01q8jr5
31,187098,Q253308,female,,United States of America,,Shirley Booth,187098,187100,/m/019l7j,"Come Back, Little Sheba",1952.0,3500000.0,99.0,English Language,United States of America,"Romantic drama, Romance Film, Drama",,,,,,1898.0,,/m/019l73
32,52139,Q42786,female,Dutch,United Kingdom,,Audrey Hepburn,52139,76310,/m/0k419,Roman Holiday,1953.0,12000000.0,117.0,Italian Language,United States of America,"Romantic comedy, Romance Film, Drama, Comedy",,,,,24.0,1929.0,Irish people,/m/0dqcm
33,42620,Q3925,female,American English,United States of America,,Grace Kelly,42620,7087167,/m/0h3k3f,The Country Girl,1954.0,6900000.0,104.0,English Language,United States of America,"Musical, Drama",,,,,25.0,1929.0,,/m/0bq1z
34,190388,Q56011,female,,Italy,,Anna Magnani,190388,18023344,/m/047p0jt,The Rose Tattoo,1955.0,4200000.0,117.0,Italian Language,United States of America,"Romantic drama, Family Drama, Drama, Black-and-white, Melodrama",,,,,47.0,1908.0,,/m/01b11y
35,193843,Q1111542,female,English,United States of America,,Joanne Woodward,193843,193845,/m/01bj7c,The Three Faces of Eve,1957.0,1400000.0,91.0,English Language,United States of America,"Drama, Medical fiction",,,,,27.0,1930.0,,/m/01bj6y
36,183785,Q248837,female,English,United States of America,,Susan Hayward,183785,193854,/m/01bj93,I Want to Live!,1958.0,5641711.0,120.0,English Language,United States of America,"Crime Fiction, Crime Drama, Black-and-white, Drama, Biopic [feature], Prison, Film noir, Courtroom Drama",,,,,41.0,1917.0,Swedish Americans,/m/01938t
37,62032,Q106126,female,French,France,,Simone Signoret,62032,92688,/m/0n05g,Room at the Top,1959.0,,118.0,English Language,United Kingdom,"Kitchen sink realism, Melodrama, Drama, British New Wave, Black-and-white",,,,,38.0,1921.0,Jewish people,/m/0gsj2
38,42357,Q34851,female,,United Kingdom,,Elizabeth Taylor,42357,193867,/m/01bjcb,BUtterfield 8,1960.0,7552000.0,109.0,English Language,United States of America,"Romantic drama, Melodrama, Drama",,,,,28.0,1932.0,Scotch-Irish Americans,/m/0bmh4
39,42357,Q34851,female,,United Kingdom,,Elizabeth Taylor,42357,9377241,/m/0286gm1,Who's Afraid of Virginia Woolf?,1966.0,40000000.0,131.0,Latin Language,United States of America,"Black comedy, Marriage Drama, Drama, Film adaptation",,,,,34.0,1932.0,Scotch-Irish Americans,/m/0bmh4
40,44463,Q43252,female,,Italy,,Sophia Loren,44463,193882,/m/01bjj6,Two Women,1960.0,,99.0,Italian Language,France,"Romance Film, Drama, World cinema, Black-and-white",,,,,26.0,1934.0,Italians,/m/01qq_lp
41,206724,Q183532,female,,United States of America,Italian Americans,Anne Bancroft,206724,11324389,/m/02r7rth,The Miracle Worker,1962.0,,106.0,English Language,United States of America,"Biography, Costume drama, Black-and-white, Drama, Film adaptation, Biographical film",,,,,30.0,1931.0,Italian Americans,/m/01dbk6
42,210214,Q191027,female,English,United States of America,,Patricia Neal,210214,161880,/m/015gm8,Hud,,,112.0,English Language,United States of America,"Action/Adventure, Western, Drama, Film adaptation",,,,,36.0,1926.0,,/m/01dvms
43,78239,Q161819,female,British English,United Kingdom,,Julie Andrews,78239,77856,/m/0kcn7,Mary Poppins,1964.0,102272727.0,139.0,English Language,United States of America,"Children's/Family, Musical, Fantasy, Comedy, Drama, Family Film, Children's Fantasy",,,,,28.0,1935.0,English people,/m/0kftt
44,163347,Q181413,female,,United Kingdom,,Julie Christie,163347,97740,/m/0p4xl,Darling,1965.0,,127.0,English Language,United Kingdom,"Romantic drama, Romance Film, Drama",,,,,24.0,1941.0,British,/m/015q43
45,72336,Q4636,female,English,United States of America,,Barbra Streisand,72336,12064241,/m/02vnmc9,Funny Girl,1968.0,58500000.0,165.0,English Language,United States of America,"Romance Film, Biography, Drama, Musical, Comedy",,,,,26.0,1942.0,American Jews,/m/03f2_rc
46,82765,Q172653,female,British English,United Kingdom,,Maggie Smith,82765,22332882,/m/05sy5dr,The Prime of Miss Jean Brodie,,,116.0,English Language,United Kingdom,"Drama, Period piece, Coming of age, Film adaptation",,,,,34.0,1934.0,English people,/m/0l6px
47,163012,Q182408,female,English,United Kingdom,,Glenda Jackson,163012,217800,/m/01fx4k,Women in Love,,,131.0,English Language,United Kingdom,"Romance Film, Erotic Drama, Drama, Period piece",,,,,,1936.0,White British,/m/015nhn
48,163012,Q182408,female,English,United Kingdom,,Glenda Jackson,163012,101907,/m/0ptx5,A Touch of Class,1973.0,16800000.0,106.0,English Language,United Kingdom,"Romantic comedy, Romance Film, Comedy",,,,,37.0,1936.0,White British,/m/015nhn
49,63520,Q41142,female,English,United States of America,,Jane Fonda,63520,223902,/m/01gm5j,Klute,,12512637.0,114.0,English Language,United States of America,"Thriller, Detective fiction, Detective, Mystery, Drama, Crime Thriller, New Hollywood",,,,,33.0,1937.0,Germans,/m/0h1mt
50,63520,Q41142,female,English,United States of America,,Jane Fonda,63520,103011,/m/0p_qr,Coming Home,1978.0,32653905.0,126.0,English Language,United States of America,"Drama, War film, Romantic drama, Romance Film, Political drama, New Hollywood",,,,,40.0,1937.0,Germans,/m/0h1mt
51,59216,Q14441,female,American English,United States of America,,Liza Minnelli,59216,236691,/m/01jc6q,Cabaret,1972.0,42765000.0,119.0,French Language,United States of America,"LGBT, Musical, Drama, New Hollywood, Film adaptation",,,,,25.0,1946.0,,/m/0g476
52,186041,Q211144,female,English,United States of America,,Ellen Burstyn,186041,225481,/m/01gvts,Alice Doesn't Live Here Anymore,1974.0,18600000.0,112.0,English Language,United States of America,"Romantic drama, Romance Film, Feminist Film, Drama",,,,,42.0,1932.0,Irish Americans,/m/019f2f
53,225497,Q182372,female,English,United States of America,,Louise Fletcher,225497,21913863,/m/07xtqq,One Flew Over the Cuckoo's Nest,1975.0,108981275.0,129.0,English Language,United States of America,"Tragedy, Indie, Existentialism, Comedy-drama, Drama, Comedy, Film adaptation, Tragicomedy",,,,,41.0,1934.0,,/m/01gvyp
54,68322,Q168721,female,English,United States of America,,Faye Dunaway,68322,101935,/m/04j13sx,Network,1976.0,,121.0,English Language,United States of America,"Parody, Black comedy, Satire, Drama, New Hollywood",,,,,35.0,1941.0,,/m/0hwbd
55,202664,Q102642,female,,United States of America,,Diane Keaton,202664,66870,/m/0hmr4,Annie Hall,1977.0,38251425.0,94.0,German Language,United States of America,"Romantic comedy, Comedy of manners, Drama, Comedy, Romance Film, New Hollywood",,,,,31.0,1946.0,Irish Americans,/m/01csvq
56,240361,Q187033,female,English,United States of America,,Sally Field,240361,103033,/m/0p_vt,Norma Rae,1979.0,22228000.0,123.0,English Language,United States of America,"Drama, Family Drama, Social problem film",,,,,32.0,1946.0,,/m/01jw4r
57,240361,Q187033,female,English,United States of America,,Sally Field,240361,113449,/m/0sxjs,Places in the Heart,1984.0,34901614.0,113.0,English Language,United States of America,"Americana, Family Film, Family Drama, Drama, Period piece",,,,,37.0,1946.0,,/m/01jw4r
58,63523,Q190994,female,English,United States of America,,Sissy Spacek,63523,106337,/m/0qm9n,Coal Miner's Daughter,1980.0,67182787.0,125.0,English Language,United States of America,"Musical, Drama, Biographical film",,,,,30.0,1949.0,Czech Americans,/m/0h1nt
59,63390,Q873,female,English,United States of America,,Meryl Streep,63390,4016437,/m/0bcp9b,Sophie's Choice,1982.0,30036000.0,150.0,French Language,United States of America,"Romantic drama, Romance Film, Drama, Period piece",,,,,33.0,1949.0,,/m/0h0wc
60,63390,Q873,female,English,United States of America,,Meryl Streep,63390,30548208,/m/0g9wdmc,The Iron Lady,2011.0,114943631.0,104.0,English Language,France,"Biography, Drama",,,,,62.0,1949.0,,/m/0h0wc
61,147368,Q95026,female,English,United States of America,,Shirley MacLaine,147368,113427,/m/0sxfd,Terms of Endearment,1983.0,108423489.0,132.0,English Language,United States of America,"Romantic comedy, Tragedy, Comedy film, Family Drama, Comedy-drama, Drama, Film adaptation, Romance Film, Tragicomedy, Family Film",,,,,49.0,1934.0,,/m/01w1kyf
62,206714,Q228650,female,,United States of America,,Geraldine Page,206714,242550,/m/01k61l,The Trip to Bountiful,1985.0,,108.0,English Language,United States of America,"Road movie, Americana, Drama, Indie",,,,,61.0,1924.0,,/m/01dbhb
63,182870,Q213287,female,English,United States of America,,Marlee Matlin,182870,113463,/m/0sxnd,Children of a Lesser God,1986.0,31853080.0,119.0,English Language,United States of America,"Romantic drama, Romance Film, Drama, Film adaptation",,,,,21.0,1965.0,Jewish people,/m/018z_c
64,80696,Q12003,female,English,United States of America,,Cher,80696,129331,/m/0yxm1,Moonstruck,,156239800.0,102.0,English Language,United States of America,"Romantic comedy, Romantic drama, Romance Film, Drama, Comedy",,,,,40.0,1946.0,Armenians,/m/01vtj38
65,18717883,Q41351,female,English,United States of America,,Jodie Foster,18717883,689785,/m/032_br,The Accused,1988.0,32078318.0,110.0,English Language,United States of America,"Crime Fiction, Drama, Courtroom Drama",,,,,25.0,1962.0,English Americans,/m/0chw_
66,18717883,Q41351,female,English,United States of America,,Jodie Foster,18717883,30006,/m/07cyl,The Silence of the Lambs,1991.0,272742922.0,118.0,English Language,United States of America,"Thriller, LGBT, Horror, Psychological thriller, Crime Fiction, Suspense, Drama, Crime Thriller",,,,,28.0,1962.0,English Americans,/m/0chw_
67,84047,Q182104,female,,United Kingdom,,Jessica Tandy,84047,129444,/m/0yyts,Driving Miss Daisy,1989.0,145793296.0,99.0,Hebrew Language,United States of America,"Buddy film, Comedy-drama, Period piece, Drama, Comedy, Film adaptation",,,,,80.0,1909.0,,/m/0lfbm
68,519607,Q544465,female,English,United States of America,,Kathy Bates,519607,7074043,/m/0h2xyn,Misery,1990.0,61276872.0,104.0,English Language,United States of America,"Thriller, Black comedy, Psychological thriller, Suspense, Film adaptation",,,,,42.0,1948.0,,/m/02kxwk
69,160985,Q168724,female,English,United Kingdom,,Emma Thompson,160985,133622,/m/0_9l_,Howards End,1992.0,25966555.0,136.0,German Language,Japan,"Japanese Movies, Costume drama, Period piece, Drama, Film adaptation, Romantic drama, Romance Film",,,,,32.0,1959.0,British,/m/0159h6
70,18220755,Q105660,female,,United States of America,,Holly Hunter,18220755,133688,/m/0_b9f,The Piano,1993.0,40157856.0,114.0,Māori language,France,"Romantic drama, Romance Film, Feminist Film, Drama, Period piece",,,,,35.0,1958.0,,/m/01kp66
71,67763,Q173585,female,,United States of America,,Jessica Lange,67763,770348,/m/03b24y,Blue Sky,1994.0,3359465.0,101.0,English Language,United States of America,"Romantic drama, Period piece, Marriage Drama, Drama, Romance Film",,,,,45.0,1949.0,White Americans,/m/0hsn_
72,68323,Q133050,female,,United States of America,,Susan Sarandon,68323,6707631,/m/0gjk1d,Dead Man Walking,1995.0,83088295.0,122.0,English Language,United States of America,"Crime Fiction, Drama",,,,,49.0,1946.0,English Americans,/m/01vwllw
73,275355,Q204299,female,English,United States of America,,Frances McDormand,275355,142430,/m/011yhm,Fargo,1996.0,60611975.0,97.0,English Language,United States of America,"Crime Fiction, Thriller, Indie, Drama, Comedy, Black comedy, Neo-noir",,,,,38.0,1957.0,,/m/01p7yb
74,44569,Q170574,female,English,United States of America,,Helen Hunt,44569,142447,/m/011yn5,As Good as It Gets,1997.0,314178011.0,139.0,English Language,United States of America,"Romantic comedy, LGBT, Slice of life story, Comedy-drama, Drama, Comedy, Romance Film",,,,,34.0,1963.0,Jewish people,/m/0c4f4
75,42621,Q34460,female,,United States of America,,Gwyneth Paltrow,42621,88075,/m/0m313,Shakespeare in Love,1998.0,289317794.0,137.0,English Language,United States of America,"Romantic comedy, Costume drama, Comedy-drama, Period piece, Drama, Comedy, Romantic drama, Romance Film",,,,,26.0,1972.0,Jewish people,/m/0bq2g
76,92289,Q93187,female,English,United States of America,,Hilary Swank,92289,543162,/m/02nczh,Boys Don't Cry,1999.0,11533945.0,118.0,English Language,United States of America,"Crime Fiction, Gay, Gay Interest, Drama, Docudrama, Gay Themed, Romance Film",,,,,25.0,1974.0,Spanish Americans,/m/0mz73
77,92289,Q93187,female,English,United States of America,,Hilary Swank,92289,1287385,/m/04q827,Million Dollar Baby,2004.0,216763646.0,133.0,Irish,United States of America,"Sports, Tragedy, Drama, Boxing",,,,,30.0,1974.0,Spanish Americans,/m/0mz73
78,16553,Q40523,female,English,United States of America,,Julia Roberts,16553,1241914,/m/04lhc4,Erin Brockovich,2000.0,256271286.0,130.0,English Language,United States of America,"Comedy-drama, Docudrama, Drama, Legal drama, Romance Film, Feminist Film, Biographical film, Courtroom Drama",,,,,32.0,1967.0,English Americans,/m/046zh
79,13717,Q1033016,female,English,United States of America,African Americans,Halle Berry,13717,703687,/m/0344gc,Monster's Ball,2001.0,44909486.0,112.0,English Language,United States of America,"Romantic drama, Romance Film, Melodrama, Drama, Indie",,,,,35.0,1966.0,White people,/m/03knl
80,21504,Q37459,female,English,United States of America,,Nicole Kidman,21504,3326435,/m/095zlp,The Hours,2002.0,108846072.0,110.0,English Language,United States of America,"LGBT, Costume drama, Film adaptation, Period piece, Drama, Gay Themed, Feminist Film",,,,,35.0,1967.0,Irish people,/m/05dbf
81,5132,Q80046,female,Afrikaans,United States of America,,Charlize Theron,5132,443556,/m/0294mx,Monster,2003.0,60378584.0,109.0,English Language,United States of America,"LGBT, Crime Fiction, Biography, Indie, Period piece, Drama, Biographical film",,,,,28.0,1975.0,White Africans of European ancestry,/m/01l9p
82,93560,Q44063,female,American English,United States of America,,Reese Witherspoon,93560,1641890,/m/05jzt3,Walk the Line,2005.0,186438883.0,135.0,Russian Language,United States of America,"Biography, Period piece, Musical, Drama, Biopic [feature], Romantic drama, Romance Film, Musical Drama",,,,,29.0,1976.0,Scottish Americans,/m/0n6f8
83,230698,Q349391,female,English,United Kingdom,,Helen Mirren,230698,6542034,/m/0g9lm2,The Queen,,,103.0,English Language,France,"Biographical film, Biography, Drama, Political drama",,,,,60.0,1945.0,English people,/m/01hkhq
84,2539269,Q8927,female,French,France,,Marion Cotillard,2539269,10249080,/m/02q6gfp,La Vie En Rose,2007.0,86274793.0,128.0,French Language,France,"Musical, Biography, Drama, Biographical film, World cinema",,,,,31.0,1975.0,French,/m/07lt7b
85,52707,Q202765,female,,United Kingdom,,Kate Winslet,52707,14149346,/m/03cw411,The Reader,2008.0,108901967.0,119.0,Greek Language,United States of America,"Tragedy, Period piece, Drama, Film adaptation, Romantic drama, Romance Film, Courtroom Drama",,,,,33.0,1975.0,English people,/m/0dvld
86,29455,Q40791,female,English,Germany,,Sandra Bullock,29455,22729553,/m/05zy3sc,The Blind Side,2009.0,309208309.0,129.0,English Language,United States of America,"Biography, Inspirational Drama, Family Drama, Docudrama, Sports, Drama, Film adaptation",,,,,45.0,1964.0,,/m/0794g
87,38459,Q37876,female,English,United States of America,,Natalie Portman,38459,24480838,/m/09k56b7,Black Swan,2010.0,329398046.0,103.0,French Language,United States of America,"Thriller, Horror, Psychological thriller, Mystery, Drama, Suspense",,,,,29.0,1981.0,Israeli Americans,/m/09l3p
88,12684530,Q189490,female,English,United States of America,British Americans,Jennifer Lawrence,12684530,33502433,/m/0h95927,The Silver Linings Playbook,2012.0,,120.0,{},United States of America,Comedy,,,,,22.0,1990.0,,/m/02x0dzw
